gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1201,64,16640,3072,15360,ck,4,0,12763.5246,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.03,31.73,0.0
gfx1201,64,16896,3072,12288,ck,4,0,10441.6235,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,122.17,33.44,0.0
gfx1201,64,20596,3072,3072,ck,4,0,3330.0571,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.74,59.83,0.0
gfx1201,64,20596,3072,12288,ck,5,0,14816.8421,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,104.94,28.17,0.0
gfx1201,64,27404,3072,3072,ck,4,0,4420.0424,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,117.02,59.27,0.0
gfx1201,64,27404,3072,14336,ck,4,0,27946.3898,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,86.37,21.66,0.0
gfx1201,64,28520,3072,3072,ck,4,0,4653.9455,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,115.66,58.5,0.0
gfx1201,64,28520,3072,14336,ck,7,0,29413.8052,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,85.4,21.35,0.0
gfx1201,64,16,3840,3840,ck,7,0,26.2142,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,18.0,569.54,0.0
gfx1201,64,16,3840,10240,ck,7,0,68.6131,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,18.34,577.27,0.0
gfx1201,64,32,3840,3840,ck,7,0,27.1911,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,34.71,555.85,0.0
gfx1201,64,32,3840,10240,ck,7,0,70.6391,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,35.63,564.77,0.0
gfx1201,64,64,3840,3840,ck,5,0,29.4296,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,64.13,526.1,0.0
gfx1201,64,64,3840,10240,ck,5,0,81.3267,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,61.89,497.6,0.0
gfx1201,64,160,3840,3840,ck,5,0,50.0094,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,94.35,331.71,0.0
gfx1201,64,160,3840,10240,ck,7,0,138.435,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,90.89,304.76,0.0
